ModelType,Model,Scenario,X-Value,Y-Value
GE,WITCH_EMF22,EMF22 4.5 NTE,0.566278,-0.280745
GE,MESSAGE V.4,AMPERE2-550-LowEI-OPT,0.516906,0.106914
PE,MiniCAM_EMF22,EMF22 4.5 NTE,0.537721,0.183794
GE,MERGE_EMF22,EMF22 4.5 NTE Pessimistic Growth,0.518378,0.22168
PE,GCAM 3.0,AMPERE2-550-LowEI-OPT,0.461754,0.228534
PE,IMAGE 2.4,EMF27-550-LowEI,0.457014,0.270221
PE,POLES AMPERE,AMPERE2-550-LowEI-OPT,0.549927,0.331895
GE,MESSAGE V.4,AMPERE2-450-LowEI-OPT,0.292247,0.339615
PE,IMAGE 2.4,AMPERE2-550-FullTech-OPT,0.35207,0.365211
PE,GCAM 3.0,EMF27-550-LowEI,0.318581,0.379678
GE,MESSAGE V.4,AMPERE2-550-FullTech-OPT,0.353398,0.397461
GE,MESSAGE V.4,EMF27-550-LowEI,0.391813,0.400426
PE,TIMES-VTT-2011,AME 3.7 W/m2 NTE,0.449899,0.407315
GE,BET 1.5,EMF27-550-LowEI,0.410042,0.408143
PE,MiniCAM_EMF22,EMF22 3.7 OS,0.387879,0.415193
GE,WITCH_AME,AME CO2 price $10 (5% p.a.),0.600463,0.416415
PE,IMAGE 2.4,EMF27-550-FullTech,0.359877,0.441098
GE,REMIND 1.4,ROSE 550 LO Fos,0.505619,0.450465
PE,IMAGE 2.4,LIMITS-500,0.309186,0.456803
GE,MESSAGE V.4,EMF27-450-LowEI,0.240621,0.464508
PE,IMAGE 2.4,AMPERE2-450-LowEI-OPT,0.282872,0.467024
PE,GCAM 3.0,AMPERE2-550-FullTech-OPT,0.343594,0.470584
GE,MERGE-ETL_2011,AMPERE2-550-LowEI-OPT,0.351163,0.477498
PE,GCAM 3.0,AMPERE2-450-LowEI-OPT,0.264518,0.482579
GE,MERGE_AME,AME CO2 price $10 (5% p.a.),0.434859,0.485742
PE,MiniCAM_EMF22,EMF22 3.7 NTE,0.366795,0.499759
PE,TIMES-VTT-2011,AME CO2 price $10 (5% p.a.),0.406518,0.501413
GE,REMIND 1.5,AMPERE2-550-LowEI-OPT,0.428691,0.513326
PE,IMAGE 2.4,EMF27-450-LowEI,0.274816,0.533799
PE,TIAM-WORLD 2012.2,EMF27-550-LowEI,0.47258,0.54417
PE,POLES EMF27,EMF27-550-LowEI,0.434576,0.565701
GE,MERGE_EMF22,EMF22 4.5 NTE,0.405455,0.614833
GE,REMIND 1.3,AME CO2 price $10 (5% p.a.),0.396084,0.617305
GE,EC-IAM 2012,EMF27-550-LowEI,0.500142,0.666541
GE,WITCH_EMF27,EMF27-550-LowEI,0.537495,0.802658
PE,IMAGE 2.4,AMPERE2-450-FullTech-OPT,0.196382,0.808001
PE,GCAM 3.0,AMPERE2-450-FullTech-OPT,0.196068,0.808674
PE,POLES AMPERE,AMPERE2-550-FullTech-OPT,0.378036,0.813991
GE,REMIND 1.3,AME 3.7 W/m2 NTE,0.362754,0.818115
GE,WITCH_EMF22,EMF22 3.7 OS,0.377808,0.837206
PE,GCAM 3.0,EMF27-550-FullTech,0.228884,0.876369
GE,SGM_EMF22,EMF22 4.5 NTE,0.528204,0.888004
GE,GRAPE ver2011,EMF27-550-LowEI,0.375113,0.914298
GE,MESSAGE V.4,AMPERE2-450-FullTech-OPT,0.199341,0.917023
GE,MERGE_EMF22,EMF22 3.7 OS Pessimistic Growth,0.354918,0.925313
PE,IMAGE 2.4,EMF27-450-FullTech,0.193389,0.927425
GE,MESSAGE V.4,EMF27-550-FullTech,0.25859,0.934158
GE,MESSAGE V.4,LIMITS-500,0.194719,0.939526
GE,WITCH_EMF22,EMF22 3.7 NTE,0.362487,0.954372
GE,GTEMREF32,AME CO2 price $10 (5% p.a.),0.4188,0.991279
GE,REMIND 1.4,ROSE 550 SL Gr,0.414932,1.013844
GE,REMIND 1.4,ROSE 550 FS Gr SL Con,0.382837,1.03607
GE,WITCH_AMPERE,AMPERE2-550-LowEI-OPT,0.471482,1.038381
GE,MERGE_EMF22,EMF22 3.7 NTE Pessimistic Growth,0.340337,1.062717
GE,WITCH_AME,AME 3.7 W/m2 NTE,0.450515,1.102238
GE,WITCH_AME,AME CO2 price $30 (5% p.a.),0.374866,1.106659
GE,MERGE_AME,AME 3.7 W/m2 NTE,0.304299,1.111423
PE,TIMES-VTT-2011,AME CO2 price $30 (5% p.a.),0.232363,1.149116
GE,FARM_3.0,EMF27-550-LowEI,0.480871,1.169313
GE,REMIND 1.4,ROSE 550 HI Pop,0.395418,1.170607
GE,REMIND 1.5,AMPERE2-450-LowEI-OPT,0.241634,1.173462
PE,IMAGE 2.4 EMF22,EMF22 2.6 OS BECCS,0.249068,1.176124
GE,REMIND 1.5,EMF27-550-LowEI,0.327696,1.176659
GE,MESSAGE V.4,EMF27-450-FullTech,0.155079,1.178331
GE,REMIND 1.4,ROSE 550 LO Oil,0.326557,1.192692
PE,MiniCAM_EMF22,EMF22 2.6 OS,0.186112,1.202288
GE,WITCH_ROSE,ROSE 550 LO Fos,0.477213,1.223167
PE,TIAM-WORLD 2012.2,EMF27-550-FullTech,0.348723,1.231235
GE,REMIND 1.4,ROSE 550 HI Gas,0.359794,1.232921
GE,BET 1.5,EMF27-450-LowEI,0.23539,1.242663
GE,REMIND 1.5,AMPERE2-550-FullTech-OPT,0.336727,1.247033
GE,MERGE_AME,AME CO2 price $30 (5% p.a.),0.286373,1.260297
GE,MERGE-ETL_2011,AMPERE2-450-LowEI-OPT,0.199348,1.28015
GE,BET 1.5,EMF27-550-FullTech,0.285202,1.29898
PE,TIMES-VTT-2011,AME 2.6 W/m2 OS,0.24641,1.311764
PE,POLES EMF27,EMF27-550-FullTech,0.29709,1.324273
GE,MERGE-ETL_2011,AMPERE2-550-FullTech-OPT,0.244882,1.330545
PE,GCAM 3.1,LIMITS-450,0.114464,1.336389
GE,MESSAGE V.4,LIMITS-450,0.127625,1.338957
GE,WITCH_ROSE,ROSE 550 HI Coal,0.437437,1.351553
GE,MERGE_EMF27,EMF27-550-LowEI,0.31746,1.379062
GE,MARIA23_org,AME 3.7 W/m2 NTE,0.318659,1.388422
PE,GCAM 3.0,EMF27-450-FullTech,0.11937,1.393515
GE,REMIND 1.4,ROSE 550 HI Fos,0.350331,1.420164
GE,EC-IAM 2012,EMF27-550-FullTech,0.359676,1.48808
GE,REMIND 1.3,AME CO2 price $30 (5% p.a.),0.213413,1.531038
PE,POLES AMPERE,AMPERE2-450-LowEI-OPT,0.28675,1.561548
GE,WITCH_AME,AME CO2 price $50 (5% p.a.),0.30994,1.578105
GE,REMIND 1.4,ROSE 450 LO Fos,0.26564,1.59326
GE,MERGE_EMF22,EMF22 3.7 OS,0.269045,1.595789
PE,MiniCAM_EMF22,EMF22 2.6 NTE,0.157492,1.62306
PE,TIMES-VTT-2011,AME CO2 price $50 (5% p.a.),0.173617,1.651428
GE,WITCH_ROSE,ROSE 550 HI Gas,0.387647,1.665443
GE,WITCH_EMF27,EMF27-450-LowEI,0.320754,1.688368
GE,WITCH_ROSE,ROSE 550 FS Gr SL Con,0.382234,1.692841
PE,POLES EMF27,EMF27-450-LowEI,0.243575,1.72685
GE,MERGE_EMF22,EMF22 3.7 NTE,0.263162,1.734362
GE,MERGE_AME,AME CO2 price $50 (5% p.a.),0.248182,1.750093
GE,MARIA23_org,AME CO2 price $10 (5% p.a.),0.459959,1.816309
GE,REMIND 1.3,AME 2.6 W/m2 OS,0.187154,1.847725
GE,WITCH_ROSE,ROSE 550 SL Gr,0.419218,1.881603
GE,REMIND 1.5,EMF27-450-LowEI,0.153714,2.138866
GE,MERGE_EMF27,EMF27-550-FullTech,0.237477,2.144991
GE,WITCH_AMPERE,AMPERE2-550-FullTech-OPT,0.331095,2.158573
GE,REMIND 1.5,EMF27-550-FullTech,0.260052,2.175213
GE,GRAPE_ver1998,AME CO2 price $10 (5% p.a.),0.557903,2.176519
GE,GTEMREF32,AME CO2 price $30 (5% p.a.),0.202173,2.179132
GE,WITCH_EMF27,EMF27-550-FullTech,0.381313,2.179594
GE,REMIND 1.4,ROSE 450 HI Coal,0.182327,2.18221
GE,REMIND 1.3,AME CO2 price $50 (5% p.a.),0.145042,2.234985
GE,WITCH_ROSE,ROSE 550 HI Pop,0.398905,2.276682
GE,REMIND 1.4,ROSE 450 FS Gr SL Con,0.207702,2.294733
GE,REMIND 1.4,ROSE 450 SL Gr,0.220655,2.351193
GE,WITCH_AMPERE,AMPERE2-450-LowEI-OPT,0.266197,2.357219
GE,REMIND 1.5,AMPERE2-450-FullTech-OPT,0.189945,2.360686
GE,REMIND 1.5,LIMITS-500,0.193423,2.406916
GE,WITCH_ROSE,ROSE 550 HI Fos,0.366817,2.410652
GE,REMIND 1.4,ROSE 450 DEF,0.206031,2.430973
GE,MERGE_EMF27,EMF27-450-LowEI,0.152394,2.447274
PE,TIAM-WORLD 2012.2,EMF27-450-LowEI,0.239386,2.448732
GE,MERGE-ETL_2011,AMPERE2-450-FullTech-OPT,0.139015,2.481233
GE,GRAPE ver2011,EMF27-550-FullTech,0.278697,2.610029
GE,REMIND 1.4,ROSE 450 HI Pop,0.210942,2.697126
PE,POLES AMPERE,AMPERE2-450-FullTech-OPT,0.197496,2.788097
GE,FARM_3.0,EMF27-550-FullTech,0.329131,2.788696
GE,BET 1.5,EMF27-450-FullTech,0.164336,2.818118
GE,REMIND 1.4,ROSE 450 HI Fos,0.188882,2.905872
GE,SGM_EMF22,EMF22 3.7 NTE,0.357194,2.955993
GE,SGM_EMF22,EMF22 3.7 OS,0.357194,2.955993
GE,GTEMREF32,AME CO2 price $50 (5% p.a.),0.114044,2.973229
GE,MERGE_EMF27,EMF27-450-FullTech,0.118697,3.155121
GE,IMACLIM v1.1,EMF27-550-LowEI,0.472689,3.247278
PE,POLES EMF27,EMF27-450-FullTech,0.164981,3.294265
GE,WITCH_LIMITS,LIMITS-500,0.244469,3.298546
GE,MARIA23_org,AME CO2 price $30 (5% p.a.),0.319059,3.56602
GE,WITCH_ROSE,ROSE 450 LO Fos,0.279158,3.597236
PE,TIAM-WORLD 2012.2,EMF27-450-FullTech,0.175329,3.634943
GE,WITCH_ROSE,ROSE 450 SL Gr,0.250018,3.726969
GE,REMIND 1.5,EMF27-450-FullTech,0.12103,3.739923
GE,WITCH_ROSE,ROSE 450 HI Coal,0.25521,3.758914
GE,WITCH_ROSE,ROSE 450 DEF,0.226552,4.053503
GE,WITCH_EMF27,EMF27-450-FullTech,0.22659,4.066498
GE,WITCH_ROSE,ROSE 450 HI Pop,0.238104,4.069239
GE,GRAPE_ver1998,AME 3.7 W/m2 NTE,0.256583,4.177155
GE,WITCH_ROSE,ROSE 450 FS Gr,0.206401,4.397102
GE,MARIA23_org,AME CO2 price $50 (5% p.a.),0.273807,4.430053
GE,WITCH_ROSE,ROSE 450 HI Fos,0.215716,4.467258
GE,WITCH_AMPERE,AMPERE2-450-FullTech-OPT,0.187256,4.527695
GE,GRAPE_ver1998,AME CO2 price $30 (5% p.a.),0.45073,4.619673
GE,WITCH_LIMITS,LIMITS-450,0.164643,5.314012
GE,GRAPE_ver1998,AME CO2 price $50 (5% p.a.),0.327035,7.616804
GE,IMACLIM v1.1,EMF27-450-LowEI,0.263522,9.375356
GE,IMACLIM v1.1,EMF27-550-FullTech,0.356485,9.500628
GE,IMACLIM v1.1,EMF27-450-FullTech,0.197295,13.383114
